#category	Emean	err_Emean	rho	err_rho	phi	err_phi
absEta_0.000_1.0000-R9_0.00_0.96-Et_0_39.000	6.6	0.0	0.01292	0.0004	M_PI_2	M_PI_2
absEta_0.000_1.0000-R9_0.00_0.96-Et_39_50.00	6.6	0.0	0.00867	0.0004	M_PI_2	M_PI_2
absEta_0.000_1.0000-R9_0.00_0.96-Et_50_65.00	6.6	0.0	0.00000	0.0004	M_PI_2	M_PI_2
absEta_0.000_1.0000-R9_0.00_0.96-Et_65_14000	6.6	0.0	0.00000	0.0004	M_PI_2	M_PI_2
absEta_0.000_1.0000-R9_0.96_10.0-Et_0_39.000	6.6	0.0	0.01396	0.0004	M_PI_2	M_PI_2
absEta_0.000_1.0000-R9_0.96_10.0-Et_39_50.00	6.6	0.0	0.00467	0.0004	M_PI_2	M_PI_2
absEta_0.000_1.0000-R9_0.96_10.0-Et_50_65.00	6.6	0.0	0.00129	0.0004	M_PI_2	M_PI_2
absEta_0.000_1.0000-R9_0.96_10.0-Et_65_14000	6.6	0.0	0.00023	0.0004	M_PI_2	M_PI_2
absEta_1.000_1.4442-R9_0.00_0.96-Et_0_39.000	6.6	0.0	0.01545	0.0004	M_PI_2	M_PI_2
absEta_1.000_1.4442-R9_0.00_0.96-Et_39_50.00	6.6	0.0	0.01576	0.0004	M_PI_2	M_PI_2
absEta_1.000_1.4442-R9_0.00_0.96-Et_50_65.00	6.6	0.0	0.00821	0.0004	M_PI_2	M_PI_2
absEta_1.000_1.4442-R9_0.00_0.96-Et_65_14000	6.6	0.0	0.01012	0.0004	M_PI_2	M_PI_2
absEta_1.000_1.4442-R9_0.96_10.0-Et_0_39.000	6.6	0.0	0.00820	0.0004	M_PI_2	M_PI_2
absEta_1.000_1.4442-R9_0.96_10.0-Et_39_50.00	6.6	0.0	0.01304	0.0004	M_PI_2	M_PI_2
absEta_1.000_1.4442-R9_0.96_10.0-Et_50_65.00	6.6	0.0	0.00788	0.0004	M_PI_2	M_PI_2
absEta_1.000_1.4442-R9_0.96_10.0-Et_65_14000	6.6	0.0	0.00564	0.0004	M_PI_2	M_PI_2
absEta_1.566_2.0000-R9_0.00_0.96-Et_0_39.000	6.6	0.0	0.01266	0.0004	M_PI_2	M_PI_2
absEta_1.566_2.0000-R9_0.00_0.96-Et_39_50.00	6.6	0.0	0.01134	0.0004	M_PI_2	M_PI_2
absEta_1.566_2.0000-R9_0.00_0.96-Et_50_65.00	6.6	0.0	0.01350	0.0004	M_PI_2	M_PI_2
absEta_1.566_2.0000-R9_0.00_0.96-Et_65_14000	6.6	0.0	0.02160	0.0004	M_PI_2	M_PI_2
absEta_1.566_2.0000-R9_0.96_10.0-Et_0_39.000	6.6	0.0	0.00682	0.0004	M_PI_2	M_PI_2
absEta_1.566_2.0000-R9_0.96_10.0-Et_39_50.00	6.6	0.0	0.00761	0.0004	M_PI_2	M_PI_2
absEta_1.566_2.0000-R9_0.96_10.0-Et_50_65.00	6.6	0.0	0.01350	0.0004	M_PI_2	M_PI_2
absEta_1.566_2.0000-R9_0.96_10.0-Et_65_14000	6.6	0.0	0.01441	0.0004	M_PI_2	M_PI_2
absEta_2.000_2.5000-R9_0.00_0.96-Et_0_39.000	6.6	0.0	0.00020	0.0004	M_PI_2	M_PI_2
absEta_2.000_2.5000-R9_0.00_0.96-Et_39_50.00	6.6	0.0	0.00814	0.0004	M_PI_2	M_PI_2
absEta_2.000_2.5000-R9_0.00_0.96-Et_50_65.00	6.6	0.0	0.01300	0.0004	M_PI_2	M_PI_2
absEta_2.000_2.5000-R9_0.00_0.96-Et_65_14000	6.6	0.0	0.01408	0.0004	M_PI_2	M_PI_2
absEta_2.000_2.5000-R9_0.96_10.0-Et_0_39.000	6.6	0.0	0.00	0.0004	M_PI_2	M_PI_2
absEta_2.000_2.5000-R9_0.96_10.0-Et_39_50.00	6.6	0.0	0.00	0.0004	M_PI_2	M_PI_2
absEta_2.000_2.5000-R9_0.96_10.0-Et_50_65.00	6.6	0.0	0.00	0.0004	M_PI_2	M_PI_2
absEta_2.000_2.5000-R9_0.96_10.0-Et_65_14000	6.6	0.0	0.00	0.0004	M_PI_2	M_PI_2
