#category	Emean	err_Emean	rho	err_rho	phi	err_phi
absEta_0.000_1.0000-R9_0.00_0.96-Et_0_39.000	6.6	0.0	0.014356	0.00005	M_PI_2	M_PI_2
absEta_0.000_1.0000-R9_0.00_0.96-Et_39_50.00	6.6	0.0	0.009241	0.00005	M_PI_2	M_PI_2
absEta_0.000_1.0000-R9_0.00_0.96-Et_50_65.00	6.6	0.0	0.000707	0.00005	M_PI_2	M_PI_2
absEta_0.000_1.0000-R9_0.00_0.96-Et_65_14000	6.6	0.0	0.000225	0.00005	M_PI_2	M_PI_2
absEta_0.000_1.0000-R9_0.96_10.0-Et_0_39.000	6.6	0.0	0.013792	0.00005	M_PI_2	M_PI_2
absEta_0.000_1.0000-R9_0.96_10.0-Et_39_50.00	6.6	0.0	0.003644	0.00005	M_PI_2	M_PI_2
absEta_0.000_1.0000-R9_0.96_10.0-Et_50_65.00	6.6	0.0	0.000007	0.00005	M_PI_2	M_PI_2
absEta_0.000_1.0000-R9_0.96_10.0-Et_65_14000	6.6	0.0	0.000005	0.00005	M_PI_2	M_PI_2
absEta_1.000_1.4442-R9_0.00_0.96-Et_0_39.000	6.6	0.0	0.018045	0.00005	M_PI_2	M_PI_2
absEta_1.000_1.4442-R9_0.00_0.96-Et_39_50.00	6.6	0.0	0.019224	0.00005	M_PI_2	M_PI_2
absEta_1.000_1.4442-R9_0.00_0.96-Et_50_65.00	6.6	0.0	0.013447	0.00005	M_PI_2	M_PI_2
absEta_1.000_1.4442-R9_0.00_0.96-Et_65_14000	6.6	0.0	0.012258	0.00005	M_PI_2	M_PI_2
absEta_1.000_1.4442-R9_0.96_10.0-Et_0_39.000	6.6	0.0	0.011398	0.00005	M_PI_2	M_PI_2
absEta_1.000_1.4442-R9_0.96_10.0-Et_39_50.00	6.6	0.0	0.014743	0.00005	M_PI_2	M_PI_2
absEta_1.000_1.4442-R9_0.96_10.0-Et_50_65.00	6.6	0.0	0.004072	0.00005	M_PI_2	M_PI_2
absEta_1.000_1.4442-R9_0.96_10.0-Et_65_14000	6.6	0.0	0.004766	0.00005	M_PI_2	M_PI_2
absEta_1.566_2.0000-R9_0.00_0.96-Et_0_39.000	6.6	0.0	0.015268	0.00005	M_PI_2	M_PI_2
absEta_1.566_2.0000-R9_0.00_0.96-Et_39_50.00	6.6	0.0	0.013329	0.00005	M_PI_2	M_PI_2
absEta_1.566_2.0000-R9_0.00_0.96-Et_50_65.00	6.6	0.0	0.014551	0.00005	M_PI_2	M_PI_2
absEta_1.566_2.0000-R9_0.00_0.96-Et_65_14000	6.6	0.0	0.016443	0.00005	M_PI_2	M_PI_2
absEta_1.566_2.0000-R9_0.96_10.0-Et_0_39.000	6.6	0.0	0.006621	0.00005	M_PI_2	M_PI_2
absEta_1.566_2.0000-R9_0.96_10.0-Et_39_50.00	6.6	0.0	0.009125	0.00005	M_PI_2	M_PI_2
absEta_1.566_2.0000-R9_0.96_10.0-Et_50_65.00	6.6	0.0	0.010208	0.00005	M_PI_2	M_PI_2
absEta_1.566_2.0000-R9_0.96_10.0-Et_65_14000	6.6	0.0	0.011017	0.00005	M_PI_2	M_PI_2
absEta_2.000_2.5000-R9_0.00_0.96-Et_0_39.000	6.6	0.0	0.011267	0.00005	M_PI_2	M_PI_2
absEta_2.000_2.5000-R9_0.00_0.96-Et_39_50.00	6.6	0.0	0.009347	0.00005	M_PI_2	M_PI_2
absEta_2.000_2.5000-R9_0.00_0.96-Et_50_65.00	6.6	0.0	0.013784	0.00005	M_PI_2	M_PI_2
absEta_2.000_2.5000-R9_0.00_0.96-Et_65_14000	6.6	0.0	0.015523	0.00005	M_PI_2	M_PI_2
absEta_2.000_2.5000-R9_0.96_10.0-Et_0_39.000	6.6	0.0	0.00	0.00005	M_PI_2	M_PI_2
absEta_2.000_2.5000-R9_0.96_10.0-Et_39_50.00	6.6	0.0	0.00	0.00005	M_PI_2	M_PI_2
absEta_2.000_2.5000-R9_0.96_10.0-Et_50_65.00	6.6	0.0	0.00	0.00005	M_PI_2	M_PI_2
absEta_2.000_2.5000-R9_0.96_10.0-Et_65_14000	6.6	0.0	0.00	0.00005	M_PI_2	M_PI_2
