#category	Emean	err_Emean	rho	err_rho	phi	err_phi
absEta_0.0_1.0-R9_0.0_0.96	6.6	0.0	0.011741626634207601	5e-05	M_PI_2	M_PI_2
absEta_1.0_1.2-R9_0.0_0.96	6.6	0.0	0.018261206224534022	5e-05	M_PI_2	M_PI_2
absEta_1.2_1.4442-R9_0.0_0.96	6.6	0.0	0.020589173917551246	5e-05	M_PI_2	M_PI_2
absEta_1.5659999999999998_2.0-R9_0.0_0.96	6.6	0.0	0.020611720845562183	5e-05	M_PI_2	M_PI_2
absEta_2.0_2.5-R9_0.0_0.96	6.6	0.0	0.016266746479006958	5e-05	M_PI_2	M_PI_2
absEta_0.0_1.0-R9_0.96_10.0	6.6	0.0	0.007697395289255232	5e-05	M_PI_2	M_PI_2
absEta_1.0_1.2-R9_0.96_10.0	6.6	0.0	0.014757539574299398	5e-05	M_PI_2	M_PI_2
absEta_1.2_1.4442-R9_0.96_10.0	6.6	0.0	0.01848366071793015	5e-05	M_PI_2	M_PI_2
absEta_1.5659999999999998_2.0-R9_0.96_10.0	6.6	0.0	0.017761875234201828	5e-05	M_PI_2	M_PI_2
absEta_2.0_2.5-R9_0.96_10.0	6.6	0.0	0.01100597938104644	5e-05	M_PI_2	M_PI_2
